model_name,feature_group,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,brier_score,brier_score_std,ece,ece_std,train_time_s,inference_ms_per_1k,dataset,n_features
SVM,G3,0.8052302888368462,0.03915359671845033,0.7545746075298695,0.036504582728967346,0.9423942772985484,0.029649548900363604,0.8378138782574064,0.0315401140662571,0.8232515657905454,0.03936370303159596,0.14933351402087794,0.019039027586438405,0.09365841242342035,0.012618835486054436,0.08453449998050928,0.13701032729597282,B,11
MLP,G3,0.769152705218279,0.03957883470635616,0.7155840679897576,0.03989065192686341,0.9486219229960025,0.02266412933446705,0.8148388092589773,0.025181460640574235,0.8280226787430388,0.03994389146578701,0.16952368182035968,0.024257813752385275,0.10949322258304561,0.022708934362564114,0.08460854003205895,0.0014411540391768203,B,11
KNN,G3,0.7407013751276047,0.015656811994148038,0.9195389841431449,0.03560901953005848,0.5645066273932253,0.04213043315232541,0.6978434109273521,0.028148839144220124,0.764880825502102,0.013768989861490298,0.24548321623731462,0.012830275457911135,0.22869152705218276,0.02103565122845019,0.0010315000312402845,0.015256223386389694,B,11
Stacking,G3,0.8194559538821833,0.02904083579985258,0.8515416785333978,0.0510863218508788,0.8110666947191248,0.0943193795819999,0.8253635085351277,0.03512305366830608,0.9330924697858045,0.017248176830920066,0.10224644755726216,0.012921854576399484,0.07197622477286204,0.01824932974290783,1.119407660001889,0.061490249279871935,B,11
OC_SVM,G3,0.6006605416441482,0.04759647496182708,0.7396883989699139,0.047280322474983434,0.3817168104355144,0.1252873318797098,0.4926069151786347,0.11504325925331596,0.6972855390058206,0.04241050344349356,0.23099174700414316,0.010095976788850066,0.11938434141975707,0.028824337701928483,0.0010090399766340852,0.0032732873113828936,B,11
RF,G4,0.9770191557076803,0.006393470569164385,0.9699226528365325,0.01032084944851466,0.9876288659793815,0.010100988630033744,0.978624552005072,0.005938473825217059,0.995975970824676,0.0013767547509410912,0.02094630096679277,0.003934533454382949,0.043166936888248374,0.007386904770321515,0.11117239999584853,0.04030047192245597,B,13
SVM,G4,0.9463940431153546,0.007217598956514244,0.9244771111524497,0.0065136829943395844,0.9794445613296865,0.011236191391129378,0.9511294383946229,0.006654921338451227,0.9880697193766022,0.0028454979359656667,0.03887459781370334,0.004680998029310151,0.05514552496722917,0.007236344854380107,0.05243414000142366,0.07489600315597092,B,13
MLP,G4,0.9103104545727497,0.022213401494411644,0.9056139140300022,0.01186688308025665,0.9282137597306963,0.03224347874007525,0.9166497304955076,0.02147394583795728,0.9567926542470261,0.023685754331087026,0.08983582507921503,0.03700812494960168,0.1199154207540483,0.07970054759584155,0.07943121998105199,0.001273429901250472,B,13
KNN,G4,0.9267038971957005,0.013610586551206377,0.9087442597670506,0.013177778309061338,0.9589312013465181,0.01834910619350955,0.9330613119006621,0.01238367119039675,0.9693008030351914,0.013919577060990448,0.054174983486458904,0.013005500411663906,0.027334414219660125,0.014117867333033027,0.0011199200060218572,0.013680349598960676,B,13
Stacking,G4,0.9726475710082267,0.010368297368616622,0.9676326530612245,0.00972731076713994,0.9815064169997896,0.010024181942334818,0.9745143745143745,0.009584549460829412,0.9955079591174758,0.0016573655962136605,0.020517804701596566,0.0056477119999310335,0.03626589968174917,0.004839309317457404,1.0755580999888479,0.052717114240143616,B,13
